"time","h","v","der(h)","der(v)","v_new","foo","flying","impact"
0,1,0,0,-9.81,0,2,1,0
0.006,0.9998234199990557,-0.05885999999999999,-0.05885999999999999,-9.81,0,2,1,0
0.012,0.9992936799989599,-0.11772,-0.11772,-9.81,0,2,1,0
0.018,0.998410779998905,-0.17658,-0.17658,-9.81,0,2,1,0
0.024,0.9971747199988611,-0.23544,-0.23544,-9.81,0,2,1,0
0.03,0.9955854999988253,-0.2943,-0.2943,-9.81,0,2,1,0
0.036,0.9936431199988014,-0.35316,-0.35316,-9.81,0,2,1,0
0.042,0.9913475799987778,-0.4120200000000001,-0.4120200000000001,-9.81,0,2,1,0
0.048,0.9886988799987539,-0.4708800000000001,-0.4708800000000001,-9.81,0,2,1,0
0.054,0.9856970199987334,-0.5297400000000001,-0.5297400000000001,-9.81,0,2,1,0
0.06,0.9823419999987163,-0.5886,-0.5886,-9.81,0,2,1,0
0.066,0.9786338199987025,-0.64746,-0.64746,-9.81,0,2,1,0
0.07199999999999999,0.974572479998692,-0.7063200000000001,-0.7063200000000001,-9.81,0,2,1,0
0.078,0.9701579799986815,-0.7651799999999999,-0.7651799999999999,-9.81,0,2,1,0
0.08400000000000001,0.9653903199986676,-0.8240399999999999,-0.8240399999999999,-9.81,0,2,1,0
0.09,0.9602694999986545,-0.8828999999999998,-0.8828999999999998,-9.81,0,2,1,0
0.096,0.9547955199986424,-0.9417599999999999,-0.9417599999999999,-9.81,0,2,1,0
0.102,0.9489683799986309,-1.00062,-1.00062,-9.81,0,2,1,0
0.108,0.9427880799986205,-1.05948,-1.05948,-9.81,0,2,1,0
0.114,0.9362546199986109,-1.11834,-1.11834,-9.81,0,2,1,0
0.12,0.9293679999986021,-1.1772,-1.1772,-9.81,0,2,1,0
0.126,0.9221282199985942,-1.23606,-1.23606,-9.81,0,2,1,0
0.132,0.9145352799985871,-1.29492,-1.29492,-9.81,0,2,1,0
0.138,0.9065891799985808,-1.35378,-1.35378,-9.81,0,2,1,0
0.144,0.8982899199985754,-1.41264,-1.41264,-9.81,0,2,1,0
0.15,0.889637499998571,-1.4715,-1.4715,-9.81,0,2,1,0
0.156,0.8806319199985638,-1.53036,-1.53036,-9.81,0,2,1,0
0.162,0.8712731799985564,-1.58922,-1.58922,-9.81,0,2,1,0
0.168,0.8615612799985489,-1.64808,-1.64808,-9.81,0,2,1,0
0.174,0.851496219998542,-1.70694,-1.70694,-9.81,0,2,1,0
0.18,0.8410779999985352,-1.7658,-1.7658,-9.81,0,2,1,0
0.186,0.8303066199985285,-1.82466,-1.82466,-9.81,0,2,1,0
0.192,0.8191820799985222,-1.88352,-1.88352,-9.81,0,2,1,0
0.198,0.8077043799985161,-1.94238,-1.94238,-9.81,0,2,1,0
0.204,0.7958735199985102,-2.00124,-2.00124,-9.81,0,2,1,0
0.21,0.7836894999985045,-2.0601,-2.0601,-9.81,0,2,1,0
0.216,0.7711523199984991,-2.11896,-2.11896,-9.81,0,2,1,0
0.222,0.7582619799984939,-2.17782,-2.17782,-9.81,0,2,1,0
0.228,0.7450184799984889,-2.23668,-2.23668,-9.81,0,2,1,0
0.234,0.7314218199984841,-2.29554,-2.29554,-9.81,0,2,1,0
0.24,0.7174719999984798,-2.3544,-2.3544,-9.81,0,2,1,0
0.246,0.7031690199984755,-2.41326,-2.41326,-9.81,0,2,1,0
