2025-12-10 21:46:28: Server: SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.14
2025-12-10 21:46:28: Server KEXes: sntrup761x25519-sha512@openssh.com,curve25519-sha256,curve25519-sha256@libssh.org,ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256,diffie-hellman-group16-sha512,diffie-hellman-group18-sha512,diffie-hellman-group14-sha256,ext-info-s,kex-strict-s-v00@openssh.com
2025-12-10 21:46:28: Server Host Keys: rsa-sha2-512,rsa-sha2-256,ecdsa-sha2-nistp256,ssh-ed25519
2025-12-10 21:46:28: Chosen Host Key: ssh-ed25519
2025-12-10 21:46:28: Ciphers: chacha20-poly1305@openssh.com,aes128-ctr,aes192-ctr,aes256-ctr,aes128-gcm@openssh.com,aes256-gcm@openssh.com
2025-12-10 21:46:28: MACs: umac-64-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-256-etm@openssh.com,hmac-sha2-512-etm@openssh.com,hmac-sha1-etm@openssh.com,umac-64@openssh.com,umac-128@openssh.com,hmac-sha2-256,hmac-sha2-512,hmac-sha1
2025-12-10 21:46:28: Auth: start: publickey
2025-12-10 21:46:28: Auth: publickey: no keys available
2025-12-10 21:46:28: Auth: start: password
2025-12-10 21:46:30: -- Analysis Started by On File Change, After Delay
2025-12-10 21:46:30: /.git: Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/index: L:TimeSize<>; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects: Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/01: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/02: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/03: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/04: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/06: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/08: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/09: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/0f: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/10: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/13: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/16: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:30: /.git/objects/19: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/1b: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/1c: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/1e: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/20: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/21: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/23: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
2025-12-10 21:46:31: /.git/objects/24: Same Deleted, Diff Gens; Deleted, Vert Cond Resolve; Conflict: File Modified on Both Sides
